iter	RMSE
0	65300.88083
1	57465.60277
2	51455.79496
3	46729.68613
4	42579.77874
5	40019.42252
6	37597.24189
7	35724.08437
8	34121.20014
9	33040.49616
10	31584.60462
11	30496.85161
12	29837.26893
13	29131.35681
14	28744.17217
15	28228.59796
16	27631.79962
17	27120.96155
18	26578.55026
19	25895.82635
20	25526.96949
21	25296.8009
22	24924.15633
23	24873.43284
24	24729.57379
25	24310.65062
26	23838.28497
27	23531.41611
28	23168.94965
29	22973.13296
30	22717.22371
31	22447.01473
32	22247.10696
33	22007.66906
34	21921.96077
35	21725.11626
36	21549.27426
37	21407.44059
38	21227.68
39	21062.55111
40	20916.32342
41	20629.45906
42	20401.0903
43	20285.79034
44	20127.47465
45	19893.24822
46	19774.39395
47	19664.3374
48	19502.84065
49	19396.77269
50	19274.4229
51	19174.23746
52	19034.69553
53	18917.19071
54	18813.98521
55	18736.88803
56	18661.88168
57	18589.71379
58	18515.13684
59	18428.22857
60	18315.95056
61	18218.68085
62	18067.40396
63	17999.07739
64	17944.17398
65	17848.10108
66	17776.0884
67	17745.95298
68	17697.92641
69	17636.68817
70	17606.1962
71	17509.55129
72	17430.39782
73	17374.20554
74	17301.90614
75	17232.15076
76	17170.96593
77	17074.19818
78	17003.78704
79	16939.20737
80	16876.21776
81	16814.00807
82	16754.1917
83	16641.74197
84	16540.22514
85	16506.79871
86	16472.58196
87	16429.46413
88	16366.67079
89	16311.72042
90	16236.99033
91	16180.78704
92	16113.61667
93	16049.01239
94	16006.63108
95	15943.57676
96	15900.07989
97	15868.82903
98	15822.35136
99	15754.13848
